nws_id,physicalelement,datetime(GMT),sitename,wfo,latitude,longitude,soiltemp(F),depth(in),afos_id,extremum
WANI3,TB,10/1/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,42,2,KLOTRR3LOT,N
WASM5,TB,10/1/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,51,2,KMPXRR3MPX,N
WEOM4,TB,10/1/2009 15:00,West Olive 5NE - MSU Ag Mesonet,GRR,42.97,-86.07,49,2,KGRRRR2GRR,Z
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,51,2,KABRRR3ABR,Z
WLFI3,TB,10/1/2009 12:00,West Lafayette,IND,40.47,-87,54,2,KINDRR3IND,N
ABR,TB,10/1/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,55,4,KABRRR3ABR,Z
ALNM4,TB,10/1/2009 15:00,Albion 1NW,DTX,42.26194444,-84.77416667,50,4,KGRRRR2GRR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,54,4,KDLHRR3DLH,Z
BATM4,TB,10/1/2009 15:00,Bath 2ENE - MSU Ag Mesonet,GRR,42.82777778,-84.38611111,51,4,KGRRRR2GRR,Z
BELM4,TB,10/1/2009 15:00,Belding 3WNW - MSU Ag Mesonet,GRR,43.11,-85.31,50,4,KGRRRR2GRR,Z
BLFI3,TB,10/1/2009 12:00,Bluffton 4N,IWX,40.78333333,-85.16666667,52,4,KIWXRR3IWX,Z
CBGI2,TB,10/1/2009 13:00,Chicago Botanical Garden,LOT,42.14055556,-87.78666667,58,4,KLOTRR3LOT,N
CLRM4,TB,10/1/2009 15:00,Clarksville 2NW - MSU Ag Mesonet,GRR,42.87,-85.26,51,4,KGRRRR2GRR,Z
CSAI4,TB,10/1/2009 12:06,Castana Exp. Farm,OAX,42.06666667,-95.81666667,57,4,KOAXRR3OAX,Z
ENTM4,TB,10/1/2009 15:00,Lakeview - Entrican - MSU Ag Mesonet,GRR,43.3775,-85.18,46,4,KGRRRR2GRR,Z
FEVM4,TB,9/30/2009 8:00,Fennville 3WSW - MSU Ag Mesonet,GRR,42.59,-86.15,55,4,KGRRRR2GRR,Z
FNVM4,TB,10/1/2009 12:00,Fennville 3W & 6E,GRR,42.59388889,-86.15583333,44,4,KGRRRR3GRR,Z
FRMM4,TB,10/1/2009 15:00,Fremont 3S - WWTP / MSU Ag Mesonet,GRR,43.42,-85.95,51,4,KGRRRR2GRR,Z
GPDM4,TB,10/1/2009 11:00,Grand Rapids - 44th St,GRR,42.9,-85.76666667,49,4,KGRRRR3GRR,N
